id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
in-c584fdd6b098284f,indeed,https://ng.indeed.com/viewjob?jk=c584fdd6b098284f,http://ng.indeed.com/job/social-media-officer-c584fdd6b098284f,Social Media Officer,YourNotify,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,1059030.0,1340969.0,USD,True,,,,,"**Key Responsibilities:**

* Develop and implement a comprehensive social media strategy to increase brand awareness, engagement, and conversions.
* Manage and oversee social media content creation, including posts, stories, videos, and graphics across multiple platforms (e.g., Facebook, Instagram, Twitter, LinkedIn, TikTok).
* Monitor and respond to comments, messages, and mentions in a timely manner to foster community engagement.
* Analyze social media metrics and create reports to track performance, identifying trends and insights to optimize content and strategy.
* Collaborate with the marketing team to align social media efforts with overall marketing goals and campaigns.
* Stay up\-to\-date with the latest social media trends, tools, and best practices to keep the brand at the forefront of the industry.

**Requirements:**

* Proven experience as a Social Media Officer or similar role.
* Strong understanding of social media platforms, algorithms, and best practices.
* Excellent written and verbal communication skills with a keen eye for detail.
* Creative thinking with the ability to generate innovative ideas and content.
* Proficiency in social media management tools (e.g., Hootsuite, Buffer) and analytics platforms (e.g., Google Analytics, Facebook Insights).
* Ability to work independently and manage multiple projects simultaneously.
* Experience with paid social media advertising (preferred).
* Experience with SEO and digital marketing

**What We Offer:**

* Opportunities for growth.
* A vibrant, collaborative work environment.
* Flexibility with remote work options.
* Professional development opportunities and ongoing training.
* The chance to shape and grow the brand’s social media presence.

Job Types: Full\-time, Permanent

Pay: ₦100,000\.00 per month

Ability to commute/relocate:

* Abuja: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* WOULD YOU BE ABLE TO SHARE EXAMPLES OF YOUR WORK??
* DO YOU HAVE EXPERIENCE WITH PAID SC CAMPAIGNS?
* PROXIMITY TO WUSE IS KEY

Education:

* Higher National Diploma (Required)

Experience:

* Social Media Management: 2 years (Required)",,https://ng.indeed.com/cmp/Yournotify,,,,,,
in-307cec275efd07ca,indeed,https://ng.indeed.com/viewjob?jk=307cec275efd07ca,http://ng.indeed.com/job/personal-assistant-307cec275efd07ca,Personal assistant,YourNotify,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,953127.0,1206872.0,USD,False,,,,,"Urgent Recruitment Job Title: Personal Assistant

Send your CV to 08024269444

Job Summary

We are seeking a highly organized and experienced Personal Assistant to provide administrative support to our senior executive.

The successful candidate will be responsible for managing the executive's schedule, coordinating travel arrangements, and handling correspondence.

Key Responsibilities

\- Manage the executive's calendar, scheduling appointments and meetings

\- Coordinate travel arrangements, including flights, accommodation, and transportation

\- Handle correspondence, including emails, letters, and phone calls

\- Prepare and distribute meeting materials, agendas, and minutes

\- Maintain confidentiality and handle sensitive information with discretion

Requirements

\- 2\+ years of experience as a Personal Assistant or Executive Assistant

\- High school diploma or equivalent required; degree preferred

Must stay in jabi or environs

\- Excellent organizational, communication, and interpersonal skills

\- Proficient in Microsoft Office, including Outlook, Word, Excel, and PowerPoint

\- Ability to work in a fast\-paced environment and prioritize multiple tasks

How to Apply If you are a highly organized and experienced Personal Assistant looking for a new challenge, please submit your application, including your resume and cover letter, to 08024269444

Job Types: Full\-time, Permanent

Pay: ₦80,000\.00 \- ₦100,000\.00 per month

Ability to commute/relocate:

* Abuja: Reliably commute or planning to relocate before starting work (Required)

Application Question(s):

* Proximity to Jabi is very important

Education:

* National Diploma (Required)

Experience:

* PA: 1 year (Required)",,https://ng.indeed.com/cmp/Yournotify,,,,,,
in-969d4ece88b67b35,indeed,https://ng.indeed.com/viewjob?jk=969d4ece88b67b35,http://sunborahsecurity.com/careers/#tab-67dec03fdc066-2,EXECUTIVE PROTECTION,Sunborah Security,"Abuja, FC, NG",2025-03-22,,,,,,,False,,,,admin@sunborahsecurity.com,"**Description:**  

Sunborah is seeking Executive Protection Agents to join our Special Operations Division. This group is comprised of specially trained agents who are experienced in all aspects of dignitary protection, bodyguard, personal protection, security, defensive driving, risk assessment and kidnap prevention. Requirements Minimum Qualifications High School Diploma Specialized experience can be substituted for education requirements Must possess a valid drivers license \& obtain a Nigerian Passport within 30 days of hiring Must able to successfully pass a strict and thorough background check If you think you are qualified, please send in your application to admin@sunborahsecurity.com. If you have any further questions or concern, please send us a mail and one of our representative will contact you.",,https://ng.indeed.com/cmp/Sunborah-Security,,,,,,
in-8f4f4d094e0dfdc6,indeed,https://ng.indeed.com/viewjob?jk=8f4f4d094e0dfdc6,http://sunborahsecurity.com/careers/#tab-67dec03fdc066-1,SECURITY OFFICERS,Sunborah Security,"Abuja, FC, NG",2025-03-22,,,,,,,False,,,,admin@sunborahsecurity.com,"**Description:**  

Sunborah Security is currently seeking security officers to work different sites in abuja Nigeria. Full and part\-time positions are available. Requirements Security License Reliable transportation Must be able to work nights and weekends Bi\-lingual is a plus Good written and verbal communication skills Clean and presentable Must be able to perform vigorous activity, when called upon Professionalism in appearance, work ethic, and positive attitude Some Security experience (private/public sector) If you think you are qualified, please send in your application to admin@sunborahsecurity.com",,https://ng.indeed.com/cmp/Sunborah-Security,,,,,,
in-042d76f9316d7db6,indeed,https://ng.indeed.com/viewjob?jk=042d76f9316d7db6,http://ng.indeed.com/job/beauty-advisor-korean-skincare-specialist-042d76f9316d7db6,Beauty Advisor – Korean Skincare Specialist,Hdskin,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,1588546.0,2011453.0,USD,False,,,,,"**Job Title:** Retail Sales Assistant – Korean Beauty Industry  
**Location:** WUSE 2 – 4U Signature (HDskin Store)  
**Employment Type:** Full\-time, Shift\-based  
**Shifts:**

* Monday to Saturday: 8:30 AM – 3:30 PM or 3:30 PM – 9:30 PM
* Sunday: 11:30 AM – 7:30 PM
* **Availability:**
* Must be available to work weekends, evenings, and public holidays as scheduled.

**Join Our Team at HDskin**

Are you passionate about skincare, beauty, and providing top\-tier customer experiences? HDskin, Nigeria’s leading Korean beauty retailer, is looking for smart, disciplined, and driven individuals to join our vibrant retail team. As a **Retail Sales Assistant**, you'll be the face of our brand—helping customers discover K\-beauty essentials, maintaining store standards, and driving product engagement.

**Key Responsibilities**

* Greet and assist customers warmly, helping them select the right Korean skincare, makeup, and hair care products based on their needs.
* Provide knowledgeable product recommendations and skincare advice to enhance the customer experience.
* Maintain store cleanliness, organization, and overall visual appeal to reflect the HDskin brand.
* Accurately process sales using the POS system, handling cash and card payments responsibly.
* Monitor stock levels on the shop floor, restock as needed, and assist with inventory tasks such as receiving deliveries and checking for damages.
* Share customer feedback and product insights with the team to help improve store offerings and service.
* Uphold the highest level of integrity, professionalism, and customer care in all interactions.

**Who We’re Looking For**

* Strong interest or background in the **Korean beauty industry**, skincare, aesthetics, or retail beauty.
* **Minimum of a BSc** in any related field (e.g., science, marketing, or cosmetology\-related disciplines).
* **Knowledge of aesthetics or cosmetology** is a strong advantage.
* Retail or customer service experience is beneficial but not required.
* Reliable, well\-presented, and trustworthy individuals with a **high level of discipline and honesty**.
* Excellent communication, problem\-solving, and interpersonal skills.
* Able to multitask efficiently in a dynamic, customer\-facing environment.

**Perks \& Benefits**

* Smart casual dress code.
* Exclusive staff discount on products.
* Opportunity to test and curate skincare products.
* Performance\-based commission available.
* Opportunities for growth and advancement within HDskin.

**Note:** We are looking for team members who are not only passionate and smart but who can also be trusted to handle products, transactions, and customer interactions with the highest level of honesty and responsibility. A background check may be conducted as part of the recruitment process.

Job Type: Full\-time

Pay: ₦150,000\.00 per month

Application Question(s):

* Do you have any background or interest in skincare, beauty, or aesthetics? Yes (please explain briefly)
* Do you have a BSc or HND? If yes, please specify your degree and field of study
* Do you have any experience in sales or retail?

Yes (please explain briefly)

* Have you ever worked in a position where handling cash or inventory was required?

Yes

* How would you describe your level of honesty and discipline in a team setting?
* Why do you want to work with HDskin?
* How soon can you start if selected?

Location:

* Abuja (Required)

Expected Start Date: 28/03/2025",,https://ng.indeed.com/cmp/Hdskin,,,,,,
in-eba81437742dcbb8,indeed,https://ng.indeed.com/viewjob?jk=eba81437742dcbb8,http://ng.indeed.com/job/audit-and-assurance-manager-eba81437742dcbb8,Audit and Assurance Manager,Ascentech Services Ltd,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,3865462.0,4894537.0,USD,False,,,,cv@ascentech.com.ng,"Job Summary:

A reputable accounting firm is seeking a highly skilled and experienced Audit and Assurance Manager to join our team in Abuja. The successful candidate will be responsible for overseeing the firm’s audit and assurance functions, ensuring compliance with regulatory standards and delivering high\-quality financial reporting.

Key Responsibilities:

Plan, execute, and manage the firm’s audit and assurance engagements.

Ensure compliance with regulatory requirements, tax laws, and accounting standards.

Develop and implement audit strategies and internal controls to improve financial accuracy and accountability.

Prepare and present accurate financial reports and audit findings to management.

Manage client relationships and address audit\-related issues promptly.

Lead and mentor the audit team, providing training and professional guidance.

Monitor and assess financial risks and recommend appropriate mitigation measures.

Ensure timely delivery of audit reports and recommendations.

Analyze financial data to identify areas for improvement and cost\-saving opportunities.

Maintain high standards of confidentiality and integrity in financial reporting.

Key Requirements:

✅ Must be a Chartered Accountant registered with the Institute of Chartered Accountants of Nigeria (ICAN).

✅ Minimum of 6 years of continuous experience in an accounting firm, with a focus on audit and assurance.

✅ Strong ability to work independently with minimal supervision.

✅ Excellent reporting and communication skills.

✅ Comprehensive knowledge and application of current tax laws.

✅ Proficiency in applying relevant accounting and auditing standards.

✅ Strong leadership skills with the ability to manage an office and develop subordinates.

✅ Ability to perform effectively under pressure and deliver results within tight deadlines.

Interested/Qualified candidates should send their CV to cv@ascentech.com.ng using Audit and Assurance Manager– Abuja as subject of the mail.

Job Types: Full\-time, Permanent

Pay: ₦350,000\.00 \- ₦380,000\.00 per month",,https://ng.indeed.com/cmp/Ascentech-Services-Ltd-1,,,,,,
in-0382f47c07a13fff,indeed,https://ng.indeed.com/viewjob?jk=0382f47c07a13fff,http://ng.indeed.com/job/flutter-swift-developer-0382f47c07a13fff,Flutter & Swift Developer,TEZDA Ltd,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,7942731.0,10057268.0,USD,True,,,,,"**About Us:**

Tezda, a London\-based startup, is dedicated to transforming the e\-commerce landscape with our innovative and immersive solutions. Leveraging state\-of\-the\-art technologies, we are seeking a talented and experienced **Flutter and Swift Developer** to join our remote team, contributing to our mission of creating captivating user experiences in the realm of immersive commerce.

**Responsibilities:Frontend Development:**

* **Flutter Development:**
* Design and build high\-quality, scalable mobile applications using Flutter.
* Collaborate with cross\-functional teams to define, design, and ship new features.
* Ensure robust and visually appealing designs are implemented.
* **Swift Development:**
* Develop and maintain native iOS applications using Swift.
* Integrate Swift modules with existing Flutter projects when necessary.
* Optimize native components for performance and seamless integration with cross\-platform features.

**Integration with Backend Services:**

* Work closely with backend developers to integrate APIs and data storage solutions.
* Experience in working with RESTful or GraphQL APIs.
* Implement user authentication and authorization mechanisms.

**Performance Optimization:**

* Optimize application performance for both speed and efficiency.
* Implement efficient and smooth animations and transitions.
* Conduct thorough testing and debugging to ensure high\-quality performance across both Flutter and native iOS components.

**Qualifications:Programming Skills:**

* **Flutter:**
* Proficiency in Dart, with a strong understanding of the Flutter framework.
* Experience in building mobile applications for both iOS and Android platforms.
* Strong understanding of front\-end development and UI/UX principles.
* **Swift:**
* Proficiency in Swift programming language.
* Experience in building and maintaining native iOS applications.
* Familiarity with iOS frameworks such as UIKit, CoreData, and SwiftUI.

**Cross\-Platform Development:**

* Proven experience in developing and maintaining cross\-platform applications using Flutter.
* Ability to integrate and manage native modules within Flutter projects.
* Familiarity with code versioning tools, such as Git.

**API Integration:**

* Experience in integrating RESTful or GraphQL APIs.
* Understanding of asynchronous request handling and partial page updates.

**Database Knowledge:**

* Experience with databases, both SQL and NoSQL, is a plus.

**Problem\-Solving Skills:**

* Strong problem\-solving skills with a focus on performance optimization and scalability.
* Ability to address technical challenges effectively in both Flutter and native iOS environments.

**Communication:**

* Excellent communication skills for effective collaboration within a remote team.

**Please Note:**

* This is a full\-time remote position. Applicants must be able to work in the UK Time Zone **(9am to 6pm).**
* Working from **Monday to Saturday**.
* **Candidates must possess both a MacOS and an iOS device** for development purposes. This is essential for the role.
* We seek individuals who are passionate about our vision and eager to contribute to innovative solutions in immersive commerce.
* We offer a dynamic, collaborative work environment with the opportunity to make a significant impact.

**Salary \& Benefits:**

* Monthly basic salary: **750000 NGN** (equivalent in **$450 USD**).
* Stock options may be available after a probationary period, up to **$100 USD**
* Performance bonus after probationary period (details provided within three months of employment). from **$50** to **$200 USD**

Job Type: Full\-time

Pay: ₦750,000\.00 per month

Experience:

* Flutter: 3 years (Required)
* Swift: 2 years (Required)

Language:

* English (Required)",,https://ng.indeed.com/cmp/Tezda-Ltd,,,,,,
in-a29cb2a5d5ca6554,indeed,https://ng.indeed.com/viewjob?jk=a29cb2a5d5ca6554,http://ng.indeed.com/job/machine-learning-engineer-a29cb2a5d5ca6554,Machine Learning Engineer,TEZDA Ltd,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,7413216.0,9386784.0,USD,True,,,,,"**About Us**

Tezda is a visionary **London\-based startup** revolutionizing the e\-commerce landscape through **cutting\-edge immersive solutions**. We harness advanced technologies to create engaging user experiences that **redefine immersive commerce**. Our mission is to craft personalized, data\-driven recommendations, much like those seen on TikTok and Instagram Reels, to enhance user engagement in short video content.

We are looking for a **Machine Learning Engineer \& Data Analyst** to join our remote team. If you're passionate about building **AI\-driven solutions**, analyzing large datasets, and creating powerful dashboards, this is your opportunity to be part of an exciting and innovative journey!

**Role Overview**

As a **Machine Learning Engineer \& Data Analyst** at Tezda, you will play a key role in:  
✅ **Developing and deploying ML models** for personalized recommendations.  
✅ **Analyzing complex datasets** to extract insights and improve user experiences.  
✅ **Building and optimizing data pipelines** for real\-time analytics.  
✅ **Creating interactive dashboards** using Power BI and other analytics tools.  
✅ **Working with AWS services** to enhance model performance and scalability.

**Key ResponsibilitiesMachine Learning \& Data Science**

* Design, develop, and deploy **machine learning models** to drive **personalized recommendations** for short video content.
* Analyze **user behavior data** to gain insights and improve recommendation systems.
* Implement and fine\-tune **AWS recommendation algorithms** and **AWS Personalize** to optimize content relevance.

**Data Analysis \& Visualization**

* Work with **large\-scale data warehouses** to extract, clean, and analyze data.
* Develop **real\-time dashboards** and reports using **Power BI, SQL, and other analytics tools**.
* Identify trends, patterns, and performance metrics to **inform decision\-making**.

**Collaboration \& Integration**

* Work closely with **engineering teams** to integrate ML models into the backend infrastructure.
* Partner with **product teams** to align AI\-driven recommendations with business goals.
* Ensure seamless **scalability and performance optimization** of recommendation systems.

**What We’re Looking ForMust\-Have Skills \& Experience**

✔ Strong expertise in **machine learning, data analysis, and statistical modeling**.  
✔ Hands\-on experience with **AWS services**, particularly **AWS Personalize, AWS Lambda, and AWS SageMaker**.  
✔ Proficiency in **Python** (pandas, NumPy, scikit\-learn) and **SQL**.  
✔ Experience in **building, deploying, and optimizing ML models** in production environments.  
✔ Deep understanding of **data warehousing, ETL pipelines, and cloud\-based architectures**.  
✔ Ability to **build interactive dashboards** using **Power BI** or similar tools.

**Nice\-to\-Have Skills**

➕ Familiarity with **big data frameworks** like Spark, Hadoop, or Kafka.  
➕ Experience with **DevOps tools** (Terraform, CloudFormation) for managing ML deployments.  
➕ Knowledge of **A/B testing** and **experiment\-driven model improvements**.

**Why Join Tezda?**

➕ **Remote\-First Culture:** Work from anywhere but stay connected with an innovative global team.  
➕ **Career Growth:** Be at the forefront of AI\-driven e\-commerce solutions.  
➕ **Exciting Challenges:** Work on cutting\-edge recommendation systems for short\-form videos.  
➕ **Competitive Compensation \& Perks:**

* **Monthly salary:** \~700000 NGN ($450 USD)
* **Stock options** (up to $100 USD after probation)
* **Performance\-based bonuses** ($50–$200 USD post\-probation)

If you're ready to shape the future of immersive commerce and bring AI\-driven innovation to life, we’d love to hear from you!

Job Type: Full\-time

Pay: ₦700,000\.00 per month

Experience:

* Machine learning: 4 years (Required)
* Recommendation Systems: 2 years (Required)
* Data Analysis: 4 years (Required)",,https://ng.indeed.com/cmp/Tezda-Ltd,,,,,,
in-2de33634cfd63ba0,indeed,https://ng.indeed.com/viewjob?jk=2de33634cfd63ba0,http://ng.indeed.com/job/sales-representative-2de33634cfd63ba0,Sales Representative,Multiwears Collections Abuja,"Abuja, FC, NG",2025-03-22,fulltime,direct_data,yearly,741321.0,938678.0,USD,False,,,,,"**Primary Responsibilities**

1\. Sell Multiwears Collections products: Meet and exceed sales targets by showcasing products, building customer relationships, and closing deals.

2\. Customer Service: Provide exceptional customer service, addressing queries, resolving issues, and ensuring customer satisfaction.

3\. Product Knowledge: Stay updated on product features, pricing, and promotions to effectively communicate benefits to customers.

4\. Store Visuals: Maintain store appearance, merchandising, and display to attract customers.

**Key Skills**

1\. Excellent communication and interpersonal skills

2\. Strong sales and negotiation skills

3\. Ability to work in a fast\-paced environment

4\. Basic knowledge of fashion and clothing industry

5\. Proficiency in local language (Hausa, English, etc.)

6\. Ability to meet sales targets and work independently

**Qualifications**

1\. Minimum of OND but HND/BSc is desired, long term experience as a sales person can be considered too.

2\. 1\-2 years of sales experience

3\. Fashion industry knowledge or related field

4\. Strong customer service skills

5\. Ability to work flexible hours, including weekends

**Desired Attributes**

1\. Results\-driven and target\-oriented

2\. Friendly, approachable, and professional demeanor

3\. Ability to work in a team environment

4\. Adaptability and flexibility

5\. Basic computer skills (Microsoft Office, etc.)

Job Type: Full\-time

Pay: ₦60,000\.00 \- ₦80,000\.00 per month

Ability to commute/relocate:

* Abuja: Reliably commute or planning to relocate before starting work (Required)

Experience:

* Sales: 1 year (Required)

Application Deadline: 05/04/2025  
Expected Start Date: 07/04/2025",,https://ng.indeed.com/cmp/Multiwears-Collections-Abuja,,,,,,
in-2b214a54a2ddf797,indeed,https://ng.indeed.com/viewjob?jk=2b214a54a2ddf797,https://www.jobberman.com/listings/sourcing-specialist-entry-level-d7g7wj,Sourcing Specialist (Entry- Level),Project Growth,"Abuja, FC, NG",2025-03-22,,,,,,,True,,,,,"Today
P
**Sourcing Specialist (Entry\- Level)**
=======================================

**Project Growth**
------------------

Abuja
Confidential
* Minimum Qualification :
### **Job Description/Requirements**

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

**About Us**  

  

We’re an international staffing agency helping U.S.\-based companies find top global talent. This is an **internal role** supporting our Sourcing and Recruiting teams in **keeping pipelines organized, screening candidates, and creating job descriptions** to ensure a smooth hiring process.
  

  

If you’re **detail\-oriented, tech\-savvy, and interested in recruitment** , this role is perfect for you!
  

  

**Key Responsibilities**  

  

? **Candidate Screening \& Pipeline Management**  

  



* Screen large volumes of candidate applications daily, ensuring alignment with job requirements and client expectations.
* Identify top candidates and update Ashby with relevant notes and statuses.
* Manage candidate communication to collect missing information (tech assessments, video recordings).
Maintain clean and organized talent pipelines for quick recruiter access.  
* 

**? Job Description \& Application Form Creation**  

  



* Collaborate with the team to write clear and engaging job descriptions.
* Create and update application forms in Ashby.
Flag role misalignments or sourcing challenges and suggest refinements.  
* 

? **Cross\-Team Collaboration \& Sourcing Tools Management**  

  



* Work with the Sourcing Manager, Sourcers, and Recruiters to keep hiring priorities on track.
* Utilize Ashby, LinkedIn Recruiter, ClickUp, Slack, and Google Workspace for daily sourcing tasks.
Support sourcing operations by keeping job postings accurate and up\-to\-date.  
* 

**What Success Looks Like**  

  

✔ Efficiently **screening and organizing candidate pipelines** to streamline recruiter workflows.
  

  

✔ Producing **strong job descriptions and application forms** that attract the right talent.
  

  

✔ Supporting the sourcing and recruiting teams with **timely updates and clear data** .
  

  

**Qualifications**  

  

✅ **1\+ year of experience** in recruitment, sourcing, or administrative roles in a **staffing agency** or fast\-paced environment.
  

  

✅ Hands\-on experience with an **ATS or CRM system** (Ashby is a plus).
  

  

✅ Strong **attention to detail** and ability to manage high\-volume candidate pipelines.
  

  

✅ **Fluent in English** with great written and verbal communication skills.
  

  

✅ **Tech\-savvy** , quick learner, and comfortable using digital tools.
  

  

✅ **Organized and proactive** , able to manage multiple tasks independently.
  

  

**Why Join Us?**  

  

Be part of a **fast\-growing, fully remote team** where you’ll gain hands\-on **recruitment and sourcing experience** while working with top global talent!
  

  

**Application Process**  

  

To be considered for this role these steps need to be followed:  

  

  



* Fill in the application form
Record a video showcasing your skill sets  
* 

  

  

  

  

  

  

  

  

  

  

  

\<",,https://ng.indeed.com/cmp/Project-Growth,,,,,,
