id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
in-647a4b1b7b19b43a,indeed,https://ng.indeed.com/viewjob?jk=647a4b1b7b19b43a,http://ng.indeed.com/job/%C3%A9tudie-%C3%A0-esicim-academy-travaille-en-france-et-obtiens-la-nationalit%C3%A9-fran%C3%A7aise-647a4b1b7b19b43a,"Étudie à ESICIM Academy, travaille en France et obtiens la nationalité française.",UNIVIRSAL VISA GOLD,"Kano, KN, NG",2025-03-23,"temporary, parttime, fulltime, contract, internship",,,,,,False,,,,,"L'école ESICIM Academy propose des formations professionnalisantes adaptées aux besoins du marché dans des domaines en forte demande : Développement, Cybersécurité, Big Data, Intelligence Artificielle, Cloud, Réseaux, et bien plus.

Pourquoi choisir ESICIM ?

* Formations en alternance pour obtenir un diplôme tout en acquérant une expérience professionnelle.
* Cursus 100 % en ligne ou en présentiel en France.
* Accompagnement personnalisé dans les démarches administratives et l’obtention du visa étudiant.
* Stages et opportunités professionnelles garantis grâce à un réseau d’entreprises partenaires.

Lieu : France (présentiel) ou formation à distance  
Rentrée : Sessions ouvertes toute l’année

Profils recherchés :

* Étudiants souhaitant se former dans les domaines technologiques et informatiques.
* Personnes en reconversion professionnelle cherchant une formation pratique et adaptée au marché du travail.
* Professionnels souhaitant développer leurs compétences avec un programme flexible.

Postulez dès maintenant et donnez un nouvel élan à votre carrière.

Contactez\-nous pour plus d’informations

* **téléphone : \+212 674\-820990**
* **téléphone : \+212 632\-169751**

Bureau sur Casablanca pour passer votre entretien à Casablanca

Agence Casablanca : Tour Entrée Ouest, étage 1 Anfa Place, bd de la corniche, Ain diab, Casablanca, 20180

Lieu de Formation : France

Type d'emploi : Temps plein, Temps partiel, Intérim, Stage, CDD",,https://ng.indeed.com/cmp/Univirsal-Visa-Gold,,,,,,
in-8a3f2978af2c3003,indeed,https://ng.indeed.com/viewjob?jk=8a3f2978af2c3003,http://ng.indeed.com/job/couvreur-toiture-travail-en-europe-formation-gratuit-peu-dexp%C3%A9rience-8a3f2978af2c3003,"Couvreur Toiture – Travail en Europe, Formation gratuit, Peu d'expérience",UNIVIRSAL VISA GOLD,"Kano, KN, NG",2025-03-23,"temporary, parttime, fulltime, contract, internship",,,,,,False,,,,contact.rh@universalvisa.org,"**Lieu** : Plusieurs pays en Europe  
**Salaire** : Selon expérience et pays d’affectation

**Universal Visa Gold** est une agence spécialisée dans l'immigration, le recrutement et l'accompagnement des étudiants et des professionnels qui souhaitent partir à l'étranger pour travailler ou étudier. L'agence propose plusieurs services, notamment :

**Études à l’étranger** : Aide les étudiants à trouver des écoles et universités, notamment en France, et les accompagne dans les démarches administratives (inscriptions, visas, logement, etc.).

**Recrutement international** : Met en relation les entreprises avec des candidats qualifiés dans différents secteurs, y compris le transport, la logistique, la construction et d’autres métiers en tension.

**Accompagnement administratif** : Aide à l'obtention de visas, de permis de travail et à l'intégration dans le pays de destination.

L'agence opère principalement entre l'Afrique (notamment le Maroc et l'Afrique subsaharienne) et l'Europe, et cherche à offrir des opportunités de mobilité internationale à ses clients.

**Postulez dès maintenant !**  
Envoyez votre CV à \[ton email] ou contactez\-nous au \[ton numéro].

Si tu veux adapter l’annonce à un pays ou une condition particulière, dis\-moi !

Postulez dès maintenant ! Envoyez votre CV

* contact.rh@universalvisa.org
* \+212 632\-169751
* \+212 674\-820990

Type d'emploi : Temps plein, Temps partiel, Intérim, Stage, CDD",,https://ng.indeed.com/cmp/Univirsal-Visa-Gold,,,,,,
in-ea22704637001119,indeed,https://ng.indeed.com/viewjob?jk=ea22704637001119,http://ng.indeed.com/job/area-sales-manager-ea22704637001119,Area Sales Manager,Express Resource Connect,"Kano, KN, NG",2025-03-22,fulltime,,,,,,False,,,,,"**Job Summary:**

We are seeking a results\-driven Area Sales Manager to lead sales efforts in designated areas, driving revenue growth and expanding market share for our client's Asset Management Line.

**Ideal Candidate:**

\- Proven track record of success in sales management within banking or financial services

\- Experience leading a team of Sales Agents to achieve individual and overall targets

\- Excellent sales, leadership, and interpersonal skills

\- Minimum 2:2 BSc degree in a relevant field

**Key Responsibilities:**

1\. Develop and execute area sales strategies to achieve business objectives

2\. Lead and manage a team of sales representatives to drive sales growth and market penetration

3\. Build and maintain relationships with key stakeholders and industry partners

4\. Conduct market research and competitor analysis

5\. Collaborate with internal stakeholders, including product development, marketing, and operations teams

6\. Monitor and report on sales performance, providing insights and recommendations

7\. Ensure compliance with regulatory requirements and internal policies

**Requirements:**

\- Bachelor's degree in a relevant field (minimum 2:2\)

\- 2\+ years of sales management experience in banking/financial services

\- Strong knowledge of asset management products

\- Excellent sales, leadership, and interpersonal skills

\- Banking Officer Grade or higher preferred

**What We Offer:**

\- Competitive salary and benefits package

\- Opportunity to work with a leading asset management firm

\- Collaborative and dynamic work environment

Job Type: Full\-time",,https://ng.indeed.com/cmp/Express-Resource-Connect,,,,,,
in-19885d1e03038254,indeed,https://ng.indeed.com/viewjob?jk=19885d1e03038254,https://jekta.no/article/nille-søker-selger-80,Nille selger 80%,Jekta Storsenter,"Kano, KN, NG",2025-03-20,,,,,,,False,,,,,"**Nille søker selger 80%**
==========================


Morsom jobb i butikk \- Butikkmedarbeider 80%


Skrevet mar. 20, 2025


**Butikkselger**  

Er du en sosial person som elsker å yte god service? Har du lyst på en jobb der du kan vise frem dine salgsevner og hjelpe kunder i butikken? Da har vi den perfekte stillingen for deg! Vi søker etter en butikkselger som vil være med på å spre glede og gi positive kundemøter i vår butikk.

  



Du vil få mange varierte arbeidsoppgaver, som kundebehandling, fylle på varer, kassebetjening og vaske litt innimellom.

  



Du må være villig til å jobbe ca. **30 timer** i uken, både på **dagtid**, **kvelder** og **helger**. Du vil også få muligheten til å jobbe enda mer i ferietid og travle perioder.

  



Vi tilbyr deg god opplæring og et hyggelig arbeidsmiljø. Vi ser etter deg som har en glimrende serviceinnstilling, er blid, pliktoppfyllende og trives med folk.

  



Du må ha fylt 18 år og du må være god i norsk, muntlig og skriftlig.

  



Er du den vi leter etter? Da håper vi at du sender inn din søknad via søknadsskjemaet som er knyttet til annonsen. Vi ber deg også merke deg at det meste av kommunikasjonen angående stillingen vil foregå per e\-post, så sjekk innboksen din ofte!

  


**Søknadsfrist: 18\.04\.2025**

  

  

Les mer og søk HER",,https://ng.indeed.com/cmp/Jekta-Storsenter,,https://www.jekta.no/,,,,
in-ff9e3969836e11e4,indeed,https://ng.indeed.com/viewjob?jk=ff9e3969836e11e4,http://ng.indeed.com/job/internal-auditor-kano-ff9e3969836e11e4,Internal Auditor - KANO,PG Consulting Limited,"Kano, KN, NG",2025-03-20,fulltime,direct_data,yearly,8472247.0,10727753.0,USD,False,,,,,"**Job title: Internal Auditor\- KANO**  
**Industry: Manufacturing**

**Remuneration: 800k \-1M net**

**Job Summary:**

We are currently seeking to hire a dynamic and results\-driven professional for one of our clients in the Manufacturing sector to join their team as an **Internal Auditor**. The ideal candidate will be responsible for assessing our internal operations, identifying risks, and providing recommendations to enhance efficiency and compliance with regulatory standards. As an Internal Auditor, you will collaborate with various departments to conduct audits, analyze financial data, and ensure that internal controls effectively safeguard company assets.

**Key Responsibilities:**

* Perform risk assessment of company operations and develop annual audit plans.
* Conduct internal audits to evaluate the effectiveness of internal controls, financial systems, and operational procedures.
* Review financial statements, accounting records, and other documentation to identify discrepancies and areas for improvement.
* Evaluate compliance with company policies, procedures, and regulatory requirements.
* Prepare audit reports detailing findings, recommendations, and action plans for management review.
* Communicate audit results and recommendations to stakeholders, including senior management and department heads.
* Monitor the implementation of audit recommendations and provide guidance on corrective actions.
* Stay updated on industry trends, regulatory changes, and best practices in internal auditing.
* Assist in special projects, investigations, and process improvement initiatives as needed.
* Foster a culture of integrity, transparency, and continuous improvement within the organization.

**Qualifications:**

* Minimum of a Bachelor's degree in Accounting, Finance, or related field. CPA or CIA certification preferred.
* Minimum of 8 years’ experience as Internal Auditor
* Proven experience in internal auditing, preferably in a corporate environment.
* Strong understanding of internal control frameworks, risk management principles, and auditing standards (e.g., COSO, SOX).
* Proficiency in data analysis and auditing software (e.g., ACL, IDEA).
* Excellent analytical skills with attention to detail and accuracy.
* Effective communication and interpersonal skills, with the ability to interact confidently with all levels of management.
* Ability to work independently and collaboratively in a dynamic environment.
* Integrity, objectivity, and a commitment to upholding ethical standards.
* Strong organizational skills and the ability to manage multiple projects simultaneously.
* Flexibility to travel occasionally as required.

Job Types: Full\-time, Permanent

Pay: ₦700,000\.00 \- ₦900,000\.00 per month

Experience:

* manufacturing industry: 7 years (Required)
* Internal Audit: 8 years (Required)",,https://ng.indeed.com/cmp/Pg-Consulting-Limited-2,,,,,,
in-a0c64d85c5c745b9,indeed,https://ng.indeed.com/viewjob?jk=a0c64d85c5c745b9,https://erp.eha.ng/jobs/detail/people-and-culture-intern-583,People and Culture Intern,EHA Clinics,"Kano, KN, NG",2025-03-20,internship,,,,,,False,,,,,"Job Title

  

People and Culture Intern

  

Department

  

Reports to

  

People and Culture


Senior Coordinator, People and Culture

  

Based in

  

Kano

 **Who we are** 

EHA Clinics is a world\-class comprehensive health care service provider located in Nigeria. We aim to bridge the gap between patients and healthcare services in any setting: the clinic, the home, or through innovative online and mobile solutions. All of our clinics are equipped with the latest healthcare technologies, and the most dedicated team of healthcare professionals, providing a unique range of patient\-centric services.

 **Mission Statement**


We are on a mission to deliver quality health care that is accessible, effective, and affordable. By leveraging technology and an exceptional team, we provide a superior experience, improved outcomes, and reduced pricing for our individual, family, and business members.

 **Core Values**

**Customer Experience**: We deliver ever\-increasing value and convenience to our customers and ensure they are treated with the utmost respect and service regardless of income or social status.

**Quality \& Safety**: We strive to improve the health of our customers, their families, and our community. We will continuously improve our quality to provide the best available healthcare services according to the best available science.


We ensure our staff are trained to perform their duties safely and reduce the spread of infections. Our facilities and processes are designed to ensure maximum safety for our customers.

**Our People:** We invest in the well\-being, training, and development of our staff.

**Financial Stewardship:** We work to reduce waste and maximize value to our customers, investors, and partners.

**Impact:**Ensure healthy lives and promote well\-being for all at all ages: improved access, affordability, and quality of life.

  

Our services:

* Medical Services
* Research and Informatics
* Pharmacy
* Laboratory \& Diagnostics
* Community Health (REACH Program)
* Telehealth and Telemedicine

 **Mission Objective**


The People and Culture department, is focused on creating a work environment that inspires creativity, innovation and growth. We believe in fostering a culture where every employee feels valued, respected, and included, and has the resources and support they need to thrive. We are dedicated to attracting, retaining, and developing a diverse and talented workforce that embodies our organization's values and True North. We aim to promote a positive and collaborative work culture that encourages open communication, constructive feedback, and ongoing learning and development opportunities.

  

 Duties And Responsibilities

  

PURPOSE

* Gather, enter, and/or update data to maintain employee records and databases
* Establish and maintain files and records for the office
* Compose and prepare written documentation and correspondence for the HR department
* Organize a filing system for important and confidential company documents
* Maintain a company calendar and schedule appointments
* Maintain security and confidentiality of company information
* Update physical and digital personnel records

  

ENGAGEMENT

* Schedule meetings, interviews, and events and maintain agendas
* Prepare and distribute meeting agenda and meeting minutes

  

 PRIORITIZE AND SELECT


DELIVERY

* Screen and evaluate incoming and outgoing correspondence and prepare responses
* Update records of new staff
* Update internal databases with new hire information

 **Targeted Specialized Knowledge**

* Minimum of Bachelor's degree from any reputable institution.
* Completion of compulsory National Youth Service Corps (NYSC) or exemption.

 **Remuneration:**


EHA Clinics is committed to fair and competitive compensation for its employees. We want our team members in all locations to feel valued for their unique skills, expertise, and talents and remunerated accordingly, so we can attract and retain the best and most passionate people.

 **Key Areas of Note**


Keep up to date with relevant medical research, technology, and evidence\-based medical practice by attending continuing education courses and professional meetings, reading journals, etc.


Research unusual symptoms and treatment options, through consultation with physicians and other medical specialists.

 **Key Skills and Attributes**

* Hold Computer literacy
* Excellent Communication and Customer Service
* Caring, Compassionate, Dedicated and Professional
* Working Under Pressure
* Humane, Empathetic and Supportive Bedside Manner
* Leadership and Teamwork
* Problem solving and Initiative
* Time Management and Organization
* Attention to Detail

**Work Environment**


The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. The noise level in the work environment is usually moderate, but can become louder at times due to group discussions or activities. EHA Clinics is a tobacco\-free environment.",,https://ng.indeed.com/cmp/Eha-Clinics-1,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/48d7012896080ba09e6690796bcb04a4,https://www.eha.ng,"Asba & Dantata Street,
off Life Camp roundabout (Jabi),
Abuja, Nigeria",,,
in-35e4e6c5a26b85d0,indeed,https://ng.indeed.com/viewjob?jk=35e4e6c5a26b85d0,http://ng.indeed.com/job/global-recruiter-35e4e6c5a26b85d0,Global Recruiter,Computan,"Kano, KN, NG",2025-03-20,fulltime,direct_data,yearly,1588546.0,2011453.0,USD,True,,,,careers@computan.net,"**About Us:**

We are a growing software development company that works with talented professionals worldwide. We are looking for a skilled **Global Recruiter** to help us find and attract top tech talent across multiple countries. If you have experience in IT recruitment and are passionate about connecting great candidates with the right opportunities, we want to hear from you!

**Key Responsibilities:**

Source, screen, and recruit top IT professionals (developers, designers, project managers, etc.) globally.

Build and maintain a pipeline of tech talent from various budget\-friendly hiring markets (e.g., Nigeria, Egypt, Pakistan, India, etc.).

Collaborate with hiring managers to understand role requirements and create effective job postings.

Conduct initial interviews and assessments to shortlist candidates.

Manage and update applicant tracking systems (ATS) and ensure a smooth hiring process.

Develop and execute creative recruitment strategies using LinkedIn, job boards, and networking events.

Coordinate interview schedules and communicate with candidates throughout the hiring process.

Stay updated with global hiring trends, salary benchmarks, and sourcing techniques.

**Requirements:**

4\+ years of experience in recruitment, preferably in IT/tech hiring.  
Strong knowledge of sourcing techniques (LinkedIn Recruiter, job portals, referrals, etc.).  
Ability to work remotely and manage multiple roles across different time zones.  
Excellent communication skills in English (verbal and written).  
Experience using ATS platforms and recruitment tools.  
Understanding of global hiring trends and employer branding.  
Ability to negotiate salaries and benefits within budget\-friendly markets.

**Preferred (Nice to Have):**

Experience recruiting in Nigeria, Africa, South Asia, or Eastern Europe.  
Familiarity with technical skills and IT job roles.  
Prior experience in remote hiring and virtual interviews.

**Why Join Us?**

Global exposure – Work with international teams and hire across different regions.  
Remote work flexibility – Work from anywhere in Nigeria!  
Career growth – Opportunity to build and lead recruitment strategies for a growing company.  
Impactful role – Play a key role in hiring top talent and shaping our global team.

**How to Apply:**  
If you're passionate about global hiring and tech recruitment, send your resume to careers@computan.net with the subject ""**Application – Global Recruiter**"".

Job Type: Full\-time

Pay: ₦100,000\.00 \- ₦200,000\.00 per month

Education:

* Higher National Diploma (Preferred)",,https://ng.indeed.com/cmp/Computan-1,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/16c4657f70b5513da2a88a193b0576d5,https://www.computan.com,P.O. Box 30046 Ridley Square ST. CATHARINES ON L2S 4A1,,,
in-92b373f533721aca,indeed,https://ng.indeed.com/viewjob?jk=92b373f533721aca,http://ng.indeed.com/job/operations-manager-92b373f533721aca,Operations Manager,Bisedge Limited,"Kano, KN, NG",2025-03-20,fulltime,direct_data,yearly,2382819.0,3017180.0,USD,False,,,,,"**Job Title: Operations Manager**

**Location: Challawa, Kano**

**Job Summary:**

To conduct a detail\-oriented and analytical Operations Data to support business operations by collecting, analyzing, and interpreting data to drive efficiency and decision\-making. The ideal candidate will work closely with cross\-functional teams to optimize processes, improve key performance indicators (KPIs), and enhance overall operational effectiveness.

**Key Responsibilities:**

* Gather and analyze operational data from multiple sources (Linde Connect, Telematics, ERP) to identify trends, inefficiencies, and areas for improvement.
* Develop dashboards, reports, and presentations to communicate complex data insights to stakeholders.
* Identify bottlenecks in operations and recommend data\-driven solutions to improve efficiency.
* Monitor key metrics such as uptime, operations cost (maintenance \& tires and other operations cost), and service levels to ensure performance targets are met.
* Use statistical techniques and predictive modeling to anticipate trends and operational needs.
* Implement automation tools and improve data management processes for efficiency.
* Work with teams across operations, finance, and IT to ensure data integrity and alignment with business goals.
* Ad\-hoc Analysis: Perform ad\-hoc analysis and respond to urgent business questions and requests.

**Qualifications:**

* Bachelor’s degree in Business, Statistics, Data Science, Economics, Supply Chain, or a related field.
* 2\+ years in operations, logistics, supply chain, or business analysis.
* Experience with ERP and CRM systems.
* Familiarity with machine learning or AI\-based analytics is a plus.
* Proficiency in SQL, Python, Excel, and BI tools (Power BI, Tableau, Looker, etc.).
* Experience in data analysis, operations, or supply chain management is a plus.
* Strong problem\-solving skills and ability to interpret complex datasets.
* Excellent communication and presentation skills.
* Ability to work with large datasets and draw meaningful insights.

Job Type: Full\-time

Pay: ₦200,000\.00 \- ₦250,000\.00 per month

Experience:

* Operations Manager: 3 years (Required)",,https://ng.indeed.com/cmp/Bisedge-Limited,,,,,,
in-1616cac1490611f7,indeed,https://ng.indeed.com/viewjob?jk=1616cac1490611f7,http://ng.indeed.com/job/internal-auditor-1616cac1490611f7,Internal Auditor,Bayshore Technologies,"Kano, KN, NG",2025-03-19,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,False,,,,,"\- Develop audit plans and execute audits based on risk assessments and organizational priorities.

\- Review and test internal controls to ensure they are effective in managing risks and safeguarding assets.

\- Identify, assess, and evaluate risk management processes and recommend improvements.

\- Verify compliance with laws, regulations, and internal policies to mitigate legal and regulatory risks.

\- Examine financial statements and reports for accuracy and completeness, and ensure they comply with relevant standards.

\- Identify signs of fraud or irregularities and conduct investigations to uncover and address fraudulent activities.

\- Prepare and present audit reports with findings, conclusions, and recommendations to management and the board.

\- Track the implementation of audit recommendations and evaluate the effectiveness of corrective actions.

\- Provide advice on improving processes, controls, and risk management practices based on audit findings.

REQUIREMENTS

\- Bachelor’s degree in Accounting, Finance, or relevant field required.

\- Minimum 3 years experience in the internal audit of a corporate setting.

\- Must possess a professional qualification (ICAN, CPA, CFA ACA, or ACCA) master’s in management is an added advantage.

\- Excellent problem\-solving, analytical, technical, IT and numerical skills.

\- Exceptional computer skills, including Microsoft Office and databases.

\- Familiarity with Quickbooks and financial statements.

\- Experience with audits, budget creation, and expense reports strongly preferred.

\- Excellent customer service and interpersonal skills.

\- Outstanding communication skills, written and verbal.

\- Solid understanding in financial statistics and Accounting Principles.

Job Type: Full\-time

Pay: ₦250,000\.00 \- ₦300,000\.00 per month",,https://ng.indeed.com/cmp/Bayshore-Technologies-2,,,,,,
in-d536e5815204377e,indeed,https://ng.indeed.com/viewjob?jk=d536e5815204377e,http://ng.indeed.com/job/quality-health-and-safety-officer-d536e5815204377e,"Quality, Health and Safety Officer",Bayshore Technologies,"Kano, KN, NG",2025-03-19,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,False,,,,,"* Ensuring operations are conducted in a safe and efficient manner and in conformance to federal, provincial and company safety regulations by integrating and implementing company and third\-party QHSE policies and procedures.
* Performs post\-incident investigations and communicates with the Manager and others until all action items have been closed.
* File QHSE documents and participate in job risk analysis and continual improvement.
* Compile safety programs and ensure conformance to safe work practices by all employees.
* Preparation of all the required safety documents (Risk Assessment, Method Statement, etc.) for work permits at the client location
* Implement and maintain health and safety standards to mitigate hazards at both site and workplace.
* Identify and develop relevant training programs for all employees.
* Keep all safety records for all site engagements and offices.
* Recommend appropriate protective equipment for all employees and keep records of the PPEs allocation.
* Supervise the activities of all the Safety Officers that will be on\-site.
* Maintain compliance with all safety regulations.
* Planning of monthly safety drills.
* Review existing safety policies and update them where necessary
* Assess possible risks and ensure that preventive measures are taken.
* Regularly inspect all tools and equipment and keep records of the maintenance activities on them.
* Ensures Quality compliance for all activities at the office and on\-site.
* Make sure that the company supports safe work practices and complies with the law.
* Help the company develop HSE strategies and plans.
* List all workplace accidents and incidents for reporting and statistical purposes.
* Keep up to date with H\&S legislation that will affect the company.
* Help write management reports, including bulletins and newsletters.
* Make sure that all equipment is installed and operated safely.
* A graduate Degree in Environmental Studies, Sustainability, or related courses.

Experience:

* At least 3 \- 4 years of proven work experience in industrial and occupational safety
* Sound knowledge of HSE laws and best practices
* Certification in safety (GHSE, NEBOSH, OSHA ) or professional membership is an added advantage

Key Skills \& Competencies:

* Advanced knowledge of risk assessment and hazard identification
* Superior knowledge of PPE usage and handling, work at height, hot work, hoisting, and confined space procedures
* MS Office proficiency – Words / Excel / PowerPoint / Outlook / Projects.
* Organization and time management skills.
* Exceptional interpersonal and customer service skills.
* Highly motivated, proactive and target\-driven.
* Creative and innovative.
* Confident and assertive.
* Excellent communication and presentation skills.
* Ability to work effectively in a team.
* Ability to deliver quality service always.
* Strong analytical and logical problem\-solving abilities.
* Energetic, independent, and self\-driven.

Willing to travel locally and internationally.

Job Type: Full\-time

Pay: ₦250,000\.00 \- ₦300,000\.00 per month",,https://ng.indeed.com/cmp/Bayshore-Technologies-2,,,,,,
