id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
in-0e25599d6c847f01,indeed,https://ng.indeed.com/viewjob?jk=0e25599d6c847f01,http://ng.indeed.com/job/sales-rep-0e25599d6c847f01,SALES REP,Bluescripts IT Instittute,"Ibadan, OY, NG",2025-03-19,parttime,direct_data,yearly,794273.0,1005726.0,USD,False,,,,"bluescriptslagos@gmail.com, info@bluescriptstech.com","Bluescripts is expanding its operations into CNG (Compressed Natural Gas) vehicle conversion services, and we are seeking a dynamic and results\-driven **Sales Executive** to drive sales and market penetration across Nigeria. The ideal candidate will be responsible for generating leads, closing sales, and building strong relationships with vehicle owners, fleet operators, and businesses looking to switch to CNG for cost savings and environmental benefits.

**Key Responsibilities:**

* **Sales \& Business Development:** Identify and engage potential customers, including individual vehicle owners, transport companies, corporate fleets, and government agencies interested in CNG conversion.
* **Lead Generation \& Conversion:** Develop and execute sales strategies to drive conversions, meet sales targets, and expand market reach.
* **Customer Relationship Management:** Build and maintain strong relationships with clients, providing consultation on the benefits of CNG and addressing customer concerns.
* **Market Research \& Strategy:** Analyze market trends, competitor activities, and customer needs to develop effective sales strategies.
* **Partnership Development:** Collaborate with auto workshops, transport associations, and government agencies to create awareness and drive sales.
* **Sales Presentations \& Demonstrations:** Conduct product demonstrations, presentations, and training sessions for potential clients.
* **Reporting \& Performance Tracking:** Maintain accurate sales records and reports to track performance and inform decision\-making.

**Requirements:**

* Minimum ofOND/ **HND** in Business, Marketing, Engineering, or a related field.
* **2\+ years** of experience in sales, preferably in automotive, energy, or industrial sectors.
* Strong understanding of **CNG technology** and its benefits (training will be provided).
* Excellent communication, negotiation, and persuasion skills.
* Proven ability to **achieve and exceed sales targets**.
* Strong networking and relationship\-building skills.
* Self\-motivated, proactive, and results\-oriented.
* Ability to travel and work independently.
* Knowledge of the Nigerian automotive and transportation industry is an added advantage.

**Benefits:**

* Competitive salary with attractive commissions.
* Training and career growth opportunities.
* Opportunity to work with a fast\-growing company in the sustainable energy sector.

**How to Apply:**  
Interested candidates should send their CVs and cover letters to **bluescriptslagos@gmail.com or info@bluescriptstech.com**  with the subject **""Sales Executive – CNG Conversion""**.

Job Type: Part\-time

Pay: ₦50,000\.00 \- ₦100,000\.00 per month

Expected hours: 5 – 10 per week

Expected Start Date: 31/03/2025",,https://ng.indeed.com/cmp/Bluescripts-IT-Instittute,,,,,,
in-bd64f658551b163f,indeed,https://ng.indeed.com/viewjob?jk=bd64f658551b163f,http://ng.indeed.com/job/sales-representative-bd64f658551b163f,Sales Representative,,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,loveofgodcelebritybooks@gmail.com,"**Job Title: Sales Representative**

**Company: Mighty DemoLex Publishers**

**Location:** Ibadan, Ilorin, Akure, Osogbo, Ado\-Ekiti

**About Mighty DemoLex Publishers:** Mighty DemoLex Publishers is a leading publishing company committed to delivering quality publications to readers across the country. As part of our expansion plans, we are looking to hire talented and motivated Sales Representatives to help us extend our reach and grow our brand.

**Position Overview:** We are seeking dynamic and result\-oriented Sales Representatives to represent Mighty DemoLex Publishers in various regions, including Ibadan, Ilorin, Akure, Osogbo, and Ado\-Ekiti. As a Sales Representative, you will be responsible for driving sales, building strong relationships with customers, and contributing to the company's growth and success.

**Key Responsibilities:**

* **Sales Growth:** Promote and sell Mighty DemoLex Publishers' products, including books and educational materials, to customers within your assigned region.
* **Client Relationship Management:** Develop and maintain strong relationships with existing clients, bookstores, schools, libraries, and other potential customers.
* **Market Expansion:** Identify and engage new customers and markets to increase the company’s presence in the region.
* **Sales Reporting:** Provide regular updates on sales activities, customer feedback, and market trends.
* **Product Knowledge:** Stay up\-to\-date on the latest publications and features of the company’s products to provide accurate and persuasive information to customers.
* **Customer Support:** Address customer inquiries, concerns, and product\-related issues in a timely and professional manner.
* **Sales Targets:** Meet or exceed sales targets and goals set by the company to drive overall success.

**Qualifications \& Requirements:**

* **Education:** Minimum of HND/BSC in any relevant field.
* **Experience:** Previous sales experience is a plus, especially in the publishing or related industry.
* **Driver’s License:** A valid driver's license is required as the role may involve travel within your assigned region.
* **Skills:**
* Excellent communication and interpersonal skills.
* Ability to negotiate and close deals.
* Strong organizational and time management skills.
* Self\-motivated, target\-driven, and results\-oriented.
* Ability to work independently and as part of a team.
* **Attributes:**
* Energetic and enthusiastic with a passion for sales.
* Detail\-oriented with a proactive approach to problem\-solving.
* Ability to build and maintain long\-term customer relationships.

**What We Offer:**

* A supportive work environment.
* Career growth opportunities.
* The chance to represent a well\-established and respected publisher.
* Competitive compensation package and incentives based on sales performance.

**How to Apply:** If you are a motivated and results\-oriented individual looking for an exciting opportunity to grow your career, we would love to hear from you.

Please send your updated resume to **loveofgodcelebritybooks@gmail.com**.

**Application Deadline:** 31st March, 2025

Join us at Mighty DemoLex Publishers and take the first step towards a rewarding career in sales with a leading publisher!

Job Type: Full\-time

Willingness to travel:

* 25% (Required)

Application Deadline: 31/03/2025",,https://ng.indeed.comNone,,,,,,
in-7dce5c2dd1f45929,indeed,https://ng.indeed.com/viewjob?jk=7dce5c2dd1f45929,http://ng.indeed.com/job/business-development-executive-7dce5c2dd1f45929,Business Development Executive,Metricoid Technology Solutions Private Limited,"Ibadan, OY, NG",2025-03-19,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,True,,,,,"**Job Title: Business Development Executive**

**Job Type:** Full time

**Location:** Remote

**Compensation and Benefits:**

* **120\-Day Trial Period:** During this period, your performance will be evaluated based on lead generation and customer acquisition.
* **Performance Benchmark:** To be eligible for a full\-time role, you must acquire at least four new customers within the 120\-day trial period.
* **Compensation During Trial:** While in the trial period, you will only receive 15% of the revenue generated from closed sales deals. There will not be any fixed salary but just 15% of the revenue generated from the deal you close (This is recurring as long as the client continues to work with us and pays invoices).
* **Post\-Trial Compensation:** Upon successful completion of the trial period and meeting the customer acquisition target, you will be eligible for a full\-time role with a fixed salary (range ₦250000 \- ₦ 300000\) plus the 15% revenue sharing from closed sales deals will continue even after the trial period.

**About Us:** Metricoid Technology Solutions is a leading software development company specializing in web, mobile, and AI applications. With over 14 years of experience and a global client base, we provide innovative and cost\-effective solutions to startups and enterprises. We are seeking a **Business Development Executive (BDE)** to lead our efforts in acquiring new clients, driving growth, and expanding our presence in the USA and EU markets.

**Role Overview:**

The Business Development Executive will take **end\-to\-end ownership** of our business growth efforts, including strategizing, leading the team, and directly engaging with potential clients. This role requires a proactive leader who can devise strategies, oversee execution, and deliver measurable results in terms of client acquisition and revenue growth.

**Key Responsibilities:**

* **Strategy Development:**
* Develop and implement a business development strategy targeting USA and EU markets.
* Identify new market opportunities, industries, and client segments.
* **Lead Generation and Client Acquisition:**
* Drive inbound and outbound lead generation through campaigns, networking, and partnerships.
* Build and nurture relationships with potential clients, from initial contact to deal closure.
* **Team Leadership:**
* Manage and mentor a team of marketing and lead generation specialists.
* Ensure alignment between team efforts and business goals.
* **Execution and Accountability:**
* Own the entire sales funnel—from lead generation to closing deals.
* Collaborate with internal teams to ensure a smooth client onboarding process.
* **Market Insights and Reporting:**
* Conduct market research to stay ahead of industry trends and competitors.
* Provide regular updates and reports on progress, challenges, and recommendations.

**Qualifications:**

* **Experience:**
* Minimum **3\+ years of experience** in business development, sales, or a similar leadership role, preferably in a software development or IT services company.
* Proven track record of successfully closing deals in international markets (USA/EU preferred).
* **Skills:**
* Strong leadership and team management skills.
* Excellent communication, negotiation, and relationship\-building abilities.
* Deep understanding of software development services (AI/ML, MVPs, SaaS, etc.).
* Proficiency in CRM tools (e.g., HubSpot, Zoho) and sales analytics platforms.
* **Mindset:**
* Results\-driven with a strong sense of ownership.
* Entrepreneurial mindset with the ability to think strategically and execute effectively.

**Perks and Benefits:**

* Competitive monthly salary of ₦250000 \- ₦ 300000
* Remote work flexibility.
* Opportunity to work with a global team and build a strong portfolio in international markets.

Job Type: Full\-time

Pay: ₦250,000\.00 \- ₦300,000\.00 per month

Experience:

* Business Development: 3 years (Preferred)",,https://ng.indeed.com/cmp/Metricoid-Technology-Solutions-Private-Limited-1,,,,,,
in-41e2e20e14f4d7d1,indeed,https://ng.indeed.com/viewjob?jk=41e2e20e14f4d7d1,http://ng.indeed.com/job/waitersales-rep-41e2e20e14f4d7d1,Waiter/Sales Rep,Jollofsquare,"Ibadan, OY, NG",2025-03-19,fulltime,direct_data,yearly,635418.0,804581.0,USD,False,,,,,"Jollofsquare is a vibrant fast\-food restaurant specializing in delicious and quick meals for our esteemed customers. We pride ourselves on providing exceptional service and ensuring customer satisfaction through efficient and timely order processing.

**Job Description:** We're seeking a dedicated and efficient Waiter/Sales Rep to join our team. The primary responsibility of this role is to process online orders both from our walk\-in customers as well as our partnering food delivery platforms, ensuring that each order is accurately prepared and promptly delivered to customers. The ideal candidate will be detail\-oriented, have excellent communication skills, and be able to work in a fast\-paced environment.

**Key Responsibilities:**

* Efficiently process online orders from various food delivery platforms.
* Verify and confirm order details to ensure accuracy.
* Coordinate with the kitchen staff to ensure timely preparation of orders.
* Package and prepare orders for delivery.
* Maintain a clean and organized work area.
* Provide exceptional customer service and address any order\-related inquiries or issues.
* Assist in inventory management and restocking as needed.
* Adhere to all health and safety regulations.

**Qualifications:**

* OND (Ordinary National Diploma) or NCE (National Certificate in Education).
* Prior experience in a fast\-food restaurant or similar environment is an advantage.
* Strong organizational skills and attention to detail.
* Ability to work efficiently in a fast\-paced environment.
* Excellent communication and interpersonal skills.
* Basic computer skills and familiarity with online ordering systems.
* Ability to work flexible hours, including evenings and weekends.

**Available Locations**: Apete, Mokola, Agbowo and Ashi

**What We Offer:**

* Competitive salary, staff meals and other benefits.
* Opportunity for growth and career advancement within the company.
* A dynamic and supportive work environment.
* Training and development programs.

Job Types: Full\-time, Permanent

Pay: ₦60,000\.00 per month

Application Question(s):

* Where do you live in Ibadan?

Application Deadline: 30/03/2025",,https://ng.indeed.com/cmp/Jollofsquare,,,,,,
in-a98dfdf16b9e1b9f,indeed,https://ng.indeed.com/viewjob?jk=a98dfdf16b9e1b9f,https://www.jobberman.com/listings/junior-product-designer-6d8j2p,Junior Product Designer,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Junior Product Designer**
===========================

**Crop2Cash ltd**
-----------------

**Product \& Project Management**
---------------------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 75,000 \- 150,000
 Easy Apply
### **Skills Required**

Figma
### **Job Summary**

We are seeking a new Junior Product Designer to join our team at Crop2Cash. Our Junior Product Designer plays an important role during all stages of product development. You must be skilled at translating the goal of the product into a functional user experience and nurturing that experience as the product matures.


* Minimum Qualification : Degree
* Experience Level : Internship \& Graduate
* Experience Length : No Experience/Less than 1 year
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Assist in designing and developing new products
* Tweak the designs of existing products to make them more efficient
* Work as per the briefs alongside internal teams and external partners to craft the best possible solution as a product designer
* Engage in the early stages of user experience design, collaborating with team members to craft prototypes and wireframes
* Perform research on product technologies and structures to implement into design concepts
* Maintain up\-to\-date on current industry trends and market conditions
* Coordinating with outside agencies, art services, web designers, marketing, printers, and colleagues as necessary
* Troubleshooting any design problems that may arise during the design process needed
Other duties may arise from time to time and may be assigned to the employee  
* 

  

**Requirements:** 

* 0\-1 year of experience in product design
* Communication skills
* Time management skills
* Solid knowledge of principles of design with a proper understanding of color theory
* Problem\-solving skills and ability to identify and resolve design issues
* Proven experience in all phases of the design process including user research, copywriting, wireframing, prototyping, visual design, interaction design, and usability testing
* Ability to adapt to changing project requirements, design trends, and client feedback
* Experience with the relevant software and technologies needed for team engagement \- Google Workspace, Clickup, Figma, Illustrator, and Sketch
* Creativity and innovative skills",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
in-80fc063c9a831d83,indeed,https://ng.indeed.com/viewjob?jk=80fc063c9a831d83,https://www.jobberman.com/listings/business-development-manager-q2xrx7,Business Development Manager,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Business Development Manager**
================================

**Crop2Cash ltd**
-----------------

**Management \& Business Development**
--------------------------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 600,000 \- 900,000
 Easy Apply
### **Job Summary**

We are searching for a passionate individual to manage our Business Development team to execute and maximise all existing and forthcoming projects for growth. Our Business Development Manager will drive the company to develop business strategies to boost growth and sales, conduct relevant market research, build client relationships.


* Minimum Qualification : Degree
* Experience Level : Senior level
* Experience Length : 5 years
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Responsible for developing and executing the business development plan
* Work closely with Management to define the top business development priorities and objectives
* Establish the measurement system to quantify the effectiveness of investments
* Develop the annual business development plan for Company products that reflects the right balance
* Create business development programs that can be easily replicated and executed across geographies
* Work closely with Management to establish a rock\-solid measurement system for all major business development efforts
* Identify best practices from the regions
* Prioritize participation in partner events including forward planning and scheduling
* Prioritize participation in partner events/trade fairs including planning and scheduling
* Liaise with the Sales and Marketing team to create sales assets to be used in business development efforts
Other relevant tasks as assigned to the employee  
* 

  

**Requirement:**

* At least 5 years of work experience in Business Administration, Business Development, or relevant fields.
* Good communication and Interpersonal skills.
* Previous experience in an Agriculture, or FinTech company is highly desirable.
* Exceptional research and project management skills.
* Fluent with various Google Space apps e.g. Doc, Spreadsheet, Slides, Forms, Chats, etc
* Critical thinker
* Analytics and problem\-solving skills
* Basic experience in stakeholder and team management
* Time management skill
* Negotiation skill
* Attention to details
* A master's degree in Business Administration or a related field is a plus.",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
in-538834a127bdd9fd,indeed,https://ng.indeed.com/viewjob?jk=538834a127bdd9fd,https://www.jobberman.com/listings/data-analyst-np8q8g,Data Analyst,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Data Analyst**
================

**Crop2Cash ltd**
-----------------

**Software \& Data**
--------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 150,000 \- 250,000
 Easy Apply
### **Job Summary**

We are looking to add a Data Analyst to our team. One who is a self\-motivated professional with analysis and reporting capabilities for promoting services that will empower farmers. Our Data Analyst utilizes technical expertise to ensure that the data being tracked is accurate and high\-quality.


* Minimum Qualification : Degree
* Experience Level : Entry level
* Experience Length : 2 years
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Using automated tools to extract data from primary and secondary sources
* Developing and maintaining databases, and data systems – reorganizing data in a readable format
* Performing analysis to assess the quality and meaning of data
* Filter data by reviewing reports and performance indicators to identify and correct code problems
* Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction
* Assigning numerical value to essential business functions so that business performance can be assessed and compared over some time
* Removing corrupted data and making recommendations for fixing coding errors and related problems
* Analyzing local, national, and global trends that impact both the organization and the industry
* Preparing reports for the management stating trends, patterns, and predictions using relevant data
* Working with programmers, software engineers, and team leads to identify process improvement opportunities, propose system modifications, and devise data governance strategies
* Preparing final analysis reports for the stakeholders to understand the data\-analysis steps, enabling them to make important decisions based on various facts and trends
Other relevant tasks as assigned to the employee.  
* 

  

**Requirements:**

* Proven experience as a Data Analyst.
* Excellent analytic skills
* Intuitive and proactive skills
* Technical expertise regarding data models, database design and development, data mining, and segmentation techniques especially on Metabase.
* Attention to detail
* Problem\-solving skills
* Time\-management skills
* Basic programming experience with frameworks, including Python and SQL.
* Interpersonal skills.
* Good written and verbal communication.
* Good at queries, report writing, and presenting findings to stakeholders.",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
in-0eca6c6ba4139b17,indeed,https://ng.indeed.com/viewjob?jk=0eca6c6ba4139b17,https://www.jobberman.com/listings/junior-front-end-software-engineer-7w469x,Junior Front-End Software Engineer,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Junior Front\-End Software Engineer**
=======================================

**Crop2Cash ltd**
-----------------

**Engineering \& Technology**
-----------------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 150,000 \- 250,000
 Easy Apply
### **Job Summary**

As a Software Engineer, you will get to work on all of our codebases and the APIs that power them. You will help build and ship new user\-facing features across our various FinTech products. Additionally, you will collaborate with product, and design teams to deliver the highest quality mobile experiences to all of our supported devices.


* Minimum Qualification : Degree
* Experience Level : Entry level
* Experience Length : No Experience/Less than 1 year
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Write and implement efficient, clean, and easy\-to\-read code
* Deploy software tools, processes, and metrics to ensure that the software is reliable and scalable
* Collaborate with other developers to create and manage repositories
* Maintain and upgrade existing systems to ensure that they are up\-to\-date and secure
* Ensure bugs are fixed promptly to reduce the likelihood of downtime
* Support users in training on how to use the software to its full potential
* Analyze current solution designs to provide design improvements to handle the growth of the business
* Test and evaluate new and existing products to ensure that they meet the needs of the business and the end user
* Focus on the end\-user experience while ensuring that designs are resilient
* Contribute innovative solutions and ideas to increase organizational efficiency and profitability through technology
* Work with a team of engineers to design, develop, and deploy the right interfaces and technologies to make solutions accessible to multiple groups
* Design, develop, and maintain software that supports the functional requirements for business applications
Other relevant duties as may arise and may be assigned to the employee.  
* 

  

**Requirements:**

* Experience in developing and maintaining software features and services that support the functional requirements for business applications.
* Node JS, React JS, TypeScript, JavaScript.
* Research and Analytical skills.
* Previous experience deploying and maintaining software on cloud infrastructure.
* Verbal \& Written Communication skills.
* Ability to enhance team collaboration while working with cross\-functional teams.
* Prioritization and time management skills.
* A technical mindset with great attention to detail.
* Familiarity using the required technologies such as Git, GitHub, Heroku, Vercel, and Google Cloud Platform.
* Experience with the relevant software and technologies needed for team engagement \- Google Workspace, Clickup, Figma.",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
in-23a4ac738e3ad35c,indeed,https://ng.indeed.com/viewjob?jk=23a4ac738e3ad35c,https://www.jobberman.com/listings/qa-tester-9jxvx0,QA Tester,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**QA Tester**
=============

**Crop2Cash ltd**
-----------------

**Quality Control \& Assurance**
--------------------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 75,000 \- 150,000
 Easy Apply
### **Job Summary**

We are looking to add a Quality Assurance Tester to our team. One who is a self\-motivated professional with product quality assurance and reporting capabilities for promoting products and services that will empower farmers. You will work in a dynamic and fast\-paced environment and work with cross\-functional teams to monitor performance and quality.


* Minimum Qualification : Degree
* Experience Level : Entry level
* Experience Length : 2 years
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Ensure that standards and safety regulations are observed
* Address and discuss issues and proposed solutions with superiors
* Document each product quality assurance activities and create frequent audit reports
* Make recommendations for improvement based on testing discoveries
* Create training materials and operating manuals for product use training
* Developing and implementing standards for inspection
* Developing and implementing a workflow for product inspection
* Communicating with other team members to solve problems
* Following up with the appropriate resolution channels when errors are found
Other relevant tasks as assigned to the employee.  
* 

  

**Requirements:**

* Minimum bachelor's degree holder
* Proven experience or training as a Quality Assurance Tester
* Excellent interpersonal and collaboration skills
* Good written and verbal communication
* Documentation and reporting skills
* Proficiency in Google Sheets or Microsoft Excel and other methods and tools for quality assurance
* A keen eye for details
* Time\-management skills
* Excellent data collection and analysis skills
* Customer\-centric solution skills
* Problem\-solving skills
* Basic programming experience with frameworks, including Python and SQL is a plus",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
in-93670a7718ff402e,indeed,https://ng.indeed.com/viewjob?jk=93670a7718ff402e,https://www.jobberman.com/listings/front-end-software-engineer-zpw0e8,Front End Software Engineer,Crop2Cash Ltd,"Ibadan, OY, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Front End Software Engineer**
===============================

**Crop2Cash ltd**
-----------------

**Engineering \& Technology**
-----------------------------

Ibadan \& Oyo State Full Time
Agriculture, Fishing \& Forestry NGN 250,000 \- 400,000
 Easy Apply
### **Job Summary**

As a Software Engineer, you will get to work on all of our codebases and the APIs that power them. You will help build and ship new user\-facing features across our various FinTech products. Additionally, you will collaborate with product, and design teams to deliver the highest quality mobile experiences to all of our supported devices.


* Minimum Qualification : Degree
* Experience Level : Entry level
* Experience Length : 2 years
* Working Hours : Full Time
### **Job Description/Requirements**

**Responsibilities:**

* Design, develop, and maintain software that supports the functional requirements for business applications
* Work with a team of engineers to design, develop, and deploy the right interfaces and technologies to make solutions accessible to multiple groups
* Contribute innovative solutions and ideas to increase organizational efficiency and profitability through technology
* Focus on the end\-user experience while ensuring that designs are resilient
* Analyze current solution designs to provide design improvements to handle the growth of the business
* Test and evaluate new and existing products to ensure that they meet the needs of the business and the end user
* Write and implement efficient, clean, and easy\-to\-read code
* Deploy software tools, processes, and metrics to ensure that the software is reliable and scalable
* Collaborate with other developers to create and manage repositories
* Maintain and upgrade existing systems to ensure that they are up\-to\-date and secure
* Ensure bugs are fixed promptly to reduce the likelihood of downtime
* Support users in training on how to use the software to its full potential
Other relevant duties as may arise and may be assigned to the employee.  
* 

  

**Requirements:**

* Experience in developing and maintaining software features and services that support the functional requirements for business applications.
* Node JS, React JS, TypeScript, JavaScript
* Research and Analytical skills
* Problem\-solving
* Previous experience deploying and maintaining software on cloud infrastructure.
* Verbal \& Written Communication skills
* Documentation and Interpersonal skills
* Ability to enhance team collaboration while working with cross\-functional teams.
* Prioritization and time management skills.
* A technical mindset with great attention to detail.
* Familiarity using the required technologies such as Git, GitHub, Heroku, Vercel, and Google Cloud Platform.
* Experience with the relevant software and technologies needed for team engagement \- Google Workspace, Clickup, Figma.",,https://ng.indeed.com/cmp/Crop2cash-Ltd,,,,,,
