id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
in-7024e44bb4e41b9e,indeed,https://ng.indeed.com/viewjob?jk=7024e44bb4e41b9e,http://ng.indeed.com/job/telemarketing-team-lead-7024e44bb4e41b9e,Telemarketing Team Lead,VIP Express Tourism Limited,"Port Harcourt, RI, NG",2025-03-19,fulltime,direct_data,yearly,1853304.0,2346696.0,USD,False,,,,recruitmentphc@vipnig.com,"Job Title: Telemarketing Team Lead

Location: PortHarcourt

Company: VIP Express Tourism Limited

Employment Type: Full\-Time

Industry: Tourism \& Hospitality

About Us

VIP Express Tourism Limited is a leading provider of unforgettable travel experiences, dedicated to helping our customers discover the world's most amazing destinations. With a strong reputation in the tourism industry, we are committed to delivering exceptional customer service and creating lifelong memories for our clients.

Job Overview

We are seeking a dynamic and results\-driven Telemarketing Team Lead to join our growing team. In this role, you will oversee a team of telemarketers, driving them to meet and exceed set targets. Your leadership will be instrumental in enhancing customer engagement and promoting our brand.

Key Responsibilities

* Lead, mentor, and manage a team of telemarketers to achieve individual and team sales goals.
* Develop and implement effective telemarketing strategies to increase customer acquisition and retention.
* Monitor team performance, providing feedback, training, and coaching to ensure high productivity.
* Coordinate with the Brand Ambassadors and Sales departments to align telemarketing efforts with broader business objectives.
* Conduct regular team meetings to review performance, set goals, and address any challenges.
* Handle escalated customer inquiries and complaints, ensuring customer satisfaction.
* Prepare and present reports on team performance, including key metrics and achievements.
* Stay up\-to\-date with industry trends, market conditions, and competitor activities to continuously refine telemarketing strategies.

Qualifications

* Proven experience in a telemarketing leadership role, preferably in the tourism or hospitality industry.
* Strong leadership skills with the ability to motivate and develop a high\-performing team.
* Excellent communication and interpersonal skills.
* Ability to analyze performance data and make informed decisions to drive results.
* Proficiency in excel, CRM, Power bi software and telemarketing tools.
* Strong organizational skills with the ability to manage multiple priorities and meet deadlines.
* Customer\-focused with a commitment to delivering outstanding service.

What We Offer

* Salary and commission.
* health insurance
* Opportunities for professional development and career advancement.
* A dynamic and supportive work environment.
* The chance to work with a passionate team in a growing company within the tourism industry.

How to Apply

If you are an enthusiastic leader passionate about tourism and customer service, we would love to hear from you! Please send your resume and a cover letter outlining your qualifications and experience to recruitmentphc@vipnig.com

Job Type: Full\-time

Pay: ₦150,000\.00 \- ₦200,000\.00 per month

Experience:

* Telemarketing: 3 years (Required)

Location:

* Port Harcourt (Required)

Application Deadline: 31/03/2025  
Expected Start Date: 01/04/2025",,https://ng.indeed.com/cmp/Vip-Express-Tourism-Limited,,,,,,
in-683d37d9f809a1b3,indeed,https://ng.indeed.com/viewjob?jk=683d37d9f809a1b3,http://ng.indeed.com/job/devops-683d37d9f809a1b3,DevOps,Dantown,"Port Harcourt, RI, NG",2025-03-19,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,False,,,,,"Requirements

* 3\+ years of experience in DevOps, with a strong understanding of Linux operating systems and scripting languages (Bash, Python).
* Proficiency in configuration management tools (Ansible, Chef, Puppet) and CI/CD pipeline tools.
* Hands\-on experience with cloud platforms (AWS, Azure, GCP) and containerization technologies (Docker, Kubernetes).
* Familiarity with infrastructure as code (IaC) methodologies and security best practices.
* Strong problem\-solving and analytical skills, with the ability to resolve complex technical issues.
* Excellent communication and collaboration skills, with the ability to work effectively in a team environment.
* Knowledge of DevOps methodologies, such as Agile and Lean.
* Experience working with AI tools and prompt engineering is mandatory.

Responsibilities

* Design, implement, and manage cloud infrastructure on platforms like AWS, Azure, or GCP.
* Develop and maintain CI/CD pipelines to ensure efficient and reliable software delivery.
* Automate infrastructure provisioning and configuration using tools like Ansible, Chef, or Puppet.
* Manage containerized applications using Docker and orchestrate them with Kubernetes.
* Monitor system performance, troubleshoot issues, and ensure high availability and scalability.
* Collaborate with development, security, and operations teams to integrate DevOps best practices.
* Implement infrastructure as code (IaC) methodologies to streamline deployments.
* Leverage AI tools and prompt engineering to optimize workflows and enhance system performance.
* Ensure security best practices are integrated into all aspects of the infrastructure.
* Stay updated on the latest DevOps trends, tools, and technologies.

Job Type: Full\-time

Pay: ₦250,000\.00 \- ₦300,000\.00 per month",,https://ng.indeed.com/cmp/Dantown,,,,,,
in-d8692218fca86f02,indeed,https://ng.indeed.com/viewjob?jk=d8692218fca86f02,http://ng.indeed.com/job/cyber-security-engineerarchitect-d8692218fca86f02,Cyber Security Engineer/Architect,Dantown,"Port Harcourt, RI, NG",2025-03-19,fulltime,direct_data,yearly,2912335.0,3687665.0,USD,False,,,,,"Requirements

* 3\+ years of experience in cybersecurity, with a focus on network security, endpoint security, and incident response.
* Deep understanding of blockchain technology, cryptography, and cryptocurrency\-specific security challenges.
* Proficiency in securing operating systems (Windows, Linux, macOS) and cloud environments (AWS, Azure, GCP).
* Hands\-on experience with SIEM platforms (e.g., Splunk, QRadar, Elastic Stack) and vulnerability management tools (e.g., Nessus, Qualys).
* Strong scripting and automation skills (Python, Bash, PowerShell) for security task automation.
* Familiarity with threat intelligence platforms and digital forensics tools is a plus.
* Excellent analytical, problem\-solving, and critical thinking skills.
* Strong communication and collaboration skills, with the ability to explain complex technical concepts to non\-technical stakeholders.
* Experience working with AI tools and prompt engineering is mandatory

Responsibilities

* Design, implement, and maintain robust security architectures for our cryptocurrency platforms.
* Conduct vulnerability assessments, penetration testing, and risk analyses to identify and remediate security gaps.
* Monitor and respond to security incidents using SIEM platforms, ensuring timely detection, containment, and resolution.
* Secure blockchain\-based systems, including wallets, exchanges, and smart contracts, against common attack vectors.
* Collaborate with development and operations teams to integrate security into the software development lifecycle (DevSecOps).
* Automate security tasks and incident response using scripting languages (e.g., Python, Bash, PowerShell).
* Develop and enforce security policies, procedures, and best practices in line with frameworks like NIST and ISO 27001\.
* Stay updated on the latest cybersecurity threats, vulnerabilities, and trends in the cryptocurrency space.
* Leverage AI tools and prompt engineering to optimize security workflows and enhance threat detection capabilities.
* Provide security awareness training and collaborate with cross\-functional teams to foster a culture of security.

Job Type: Full\-time

Pay: ₦250,000\.00 \- ₦300,000\.00 per month",,https://ng.indeed.com/cmp/Dantown,,,,,,
in-0b3b0eeb83f42b28,indeed,https://ng.indeed.com/viewjob?jk=0b3b0eeb83f42b28,https://www.jobberman.com/listings/business-manager-7w6vpn,Business Manager,,"Port Harcourt, RI, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Business Manager**
====================

**3V Property \& Investment Holdings Limited**
----------------------------------------------

**Farming \& Agriculture**
--------------------------

Port Harcourt \& Rivers State Full Time
Agriculture, Fishing \& Forestry NGN 150,000 \- 250,000
 Easy Apply
### **Job Summary**

We are seeking an experienced, knowledgeable, and results\-driven business manager to oversee the daily operations and financial health of our fish farm, and collaborate with the hatcher to manage fish growth at different stages.


* Minimum Qualification : Degree
* Experience Level : Mid level
* Experience Length : 2 years
### **Job Description/Requirements**

**Responsibilities:**

* Oversee daily farm operations and ensure efficient farming systems and fish production.
* Manage budget, costs, and revenue to ensure farm profitability.
* Monitor water quality, feeding schedules, and overall fish health.
* Collaborate with the Hatcher to ensure proper handling and management of fries, fingerlings, post\-fingerlings, and table\-size fish.
* Develop and implement marketing and sales strategies to maximize revenue.
* Keep accurate records of fish stock, feeding, and production progress.
* Ensure compliance with industry regulations and environmental standards.
* Maintain biosecurity measures to prevent contamination and disease outbreaks.
Implement best practices in fish farm management to optimize growth and reduce mortality rates.  
* 

  

**Requirements:**

* A minimum of a degree in business management, aquaculture, agriculture, or a related field (preferred).
* A minimum of 2 years of experience in aquaculture or catfish farming (managing farm operations).
* Strong knowledge of budgeting, cost management, and revenue optimization to ensure farm profitability.
* Experience in monitoring water quality, feeding schedules, and fish health management.
* Ability to collaborate with hatchery teams to oversee the handling and management of fries, fingerlings, post\-fingerlings, and table\-size fish.
* Strong marketing and sales skills to develop strategies for maximizing revenue.
* Strong problem\-solving skills and attention to detail.
* Ability to work independently and as part of a team.",,,,,,,,
in-4394e7d8dcae6d60,indeed,https://ng.indeed.com/viewjob?jk=4394e7d8dcae6d60,https://www.jobberman.com/listings/senior-accountant-gw65p0,Senior Accountant,,"Port Harcourt, RI, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Senior Accountant**
=====================

**3V Property \& Investment Holdings Limited**
----------------------------------------------

**Accounting, Auditing \& Finance**
-----------------------------------

Port Harcourt \& Rivers State Full Time
Education NGN 250,000 \- 400,000
 Easy Apply
### **Skills Required**

Microsoft Excel Accounting Software
### **Job Summary**

We are seeking a highly skilled and experienced Group Accountant to oversee the accounting departments of our diverse group of subsidiaries. This role requires strong leadership, analytical, and financial management skills.


* Minimum Qualification : Degree
* Experience Level : Senior level
* Experience Length : 4 years
### **Job Description/Requirements**

**Responsibilities:**

* Manage and oversee the accounting functions of all subsidiaries.
* Develop subsidiary\-specific accounting systems for efficiency.
* Ensure timely and accurate financial reporting at group and subsidiary levels.
* Prepare consolidated financial statements.
* Develop and implement accounting policies and procedures.
* Supervise and mentor accounting teams across all subsidiaries.
* Provide financial analysis and guidance to senior management.
* Monitor cash flow and ensure effective management of financial resources.
* Coordinate internal and external audits to ensure compliance with regulatory requirements.
Assist in budgeting, forecasting, and strategic financial planning for the group.  
* 

  

  

**Requirements:**

* A minimum of a bachelor's degree in Accounting, Finance, or a related field,
* ICAN qualification.
* Proven experience in managing accounting functions across multiple subsidiaries or within a group structure.
* Strong knowledge of financial reporting, consolidation, and regulatory compliance.
* Experience in developing and implementing accounting policies and procedures.
* Proficiency in accounting software and financial management systems.
* Excellent leadership and team management skills to oversee and mentor accounting teams.
* Strong analytical and problem\-solving abilities with attention to detail.
* Ability to provide strategic financial insights and support decision\-making at senior management levels.
* Experience in cash flow management, budgeting, and financial planning.
* Ability to coordinate and manage internal and external audits effectively.
* Excellent communication and interpersonal skills to collaborate with various stakeholders.",,,,,,,,
in-c0103b428205f080,indeed,https://ng.indeed.com/viewjob?jk=c0103b428205f080,https://www.jobberman.com/listings/junior-accountant-pm4p0r,Junior Accountant,,"Port Harcourt, RI, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Junior Accountant**
=====================

**3V Property \& Investment Holdings Limited**
----------------------------------------------

**Accounting, Auditing \& Finance**
-----------------------------------

Port Harcourt \& Rivers State Full Time
Manufacturing \& Warehousing NGN 75,000 \- 150,000
 Easy Apply
### **Skills Required**

Microsoft Office Suite (Microsoft Excel) Accounting Software Organization skills Acccounting Detail\-oriented
### **Job Summary**

This is a full\-time on\-site role for a Junior Accountant at 3V Property \& Investment Holdings Limited, located in Port\-Harcourt. You will be responsible for various day\-to\-day financial responsibilities and will collaborate with the Group Accountant to ensure the smooth running of all accounting departments in the subsidiaries.


* Minimum Qualification : Degree
* Experience Level : Entry level
* Experience Length : 2 years
### **Job Description/Requirements**

**Responsibilities:**

* Ensure effective correspondence with banks on financial matters
* Ensure timely TAX reconciliation/remittance for all subsidiaries
* Assist with the external audit process of subsidiaries
* Maintain and track external audit fee records
* Support financial documentation and compliance efforts
* Support the month\-end and year\-end closing processes across subsidiaries
* Assist in the preparation of financial statements and reports
Assist the Group Accountant with any other responsibility  
* 

  

**Requirements:**

* A minimum of a bachelor's degree in accounting.
* ICAN qualification.
* Proficiency in preparing financial statements and reports.
* Strong analytical skills with attention to detail.
* Proficiency in accounting software and Microsoft Office Suite, especially Excel.
* Excellent communication and organizational skills.
* Strong knowledge of financial correspondence and liaising with banks on financial matters.
* Experience in tax reconciliation and remittance processes for multiple subsidiaries.
* Familiarity with external audit procedures and ability to assist in the audit process.
* Ability to maintain and track external audit fee records accurately.",,,,,,,,
in-443bdcb06d4a9496,indeed,https://ng.indeed.com/viewjob?jk=443bdcb06d4a9496,https://www.jobberman.com/listings/sales-executive-20xzkv,Sales Executive,Castel Resources,"Port Harcourt, RI, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Sales Executive**
===================

**Castel Resources**
--------------------

**Estate Agents \& Property Management**
----------------------------------------

Port Harcourt \& Rivers State Full Time
Real Estate NGN 75,000 \- 150,000
 Easy Apply
### **Job Summary**

We are looking for a goal\-oriented person to join our team as a Sales Executive. The sales executive will be responsible for engaging with clients, promoting property options, negotiating sales, and providing excellent customer service, day\-to\-day tasks including generating leads, conducting property viewing, and closing sale deals.


* Minimum Qualification : Degree
* Experience Level : Mid level
* Experience Length : 3 years
### **Job Description/Requirements**

**Responsibilities:**

* Market and promote our property portfolio to prospective clients.
* Identify potential clients, generate leads, and convert them into successful sales.
* Build and maintain strong relationships with clients, providing top\-notch customer service.
* Work closely with the sales team to achieve individual and team targets.
Participate in property inspections and site visits to close deals.  
* 

  

**Requirements:**

* B.Sc/HND in Marketing, Business Administration or any field of study.
* Reside within Rukpokwu and its environs.
* Proven experience in sales, marketing, or real estate (preferred but not mandatory).
* Excellent communication, negotiation, and interpersonal skills.
* Resilient, self\-motivated, and target\-driven.
* Familiarity with the Nigerian real estate market is an advantage.
Ability to work independently and in a team\-oriented environment.  
* 

  

**Location:** Rukpokwu, Port Harcourt",,https://ng.indeed.com/cmp/Castel-Resources,,,,,,
in-14f51c10426375d5,indeed,https://ng.indeed.com/viewjob?jk=14f51c10426375d5,https://www.jobberman.com/listings/tele-marketer-zp028n,Telemarketer,Castel Resources,"Port Harcourt, RI, NG",2025-03-19,fulltime,,,,,,False,,,,,"Today
**Telemarketer**
================

**Castel Resources**
--------------------

**Marketing \& Communications**
-------------------------------

Port Harcourt \& Rivers State Full Time
Real Estate NGN 75,000 \- 150,000
 Easy Apply
### **Job Summary**

We are looking for an enthusiastic Telemarketer to generate sales either by cold calling or answering requests in a fast\-paced environment. You will be responsible for influencing existing or potential customers to buy products or services. A successful telemarketer must be friendly and persuasive. You must be able to understand the customer’s requirements in a short time and present solutions that meet their needs. The ideal candidate will also be patient and cool\-tempered to deal with aggressiveness and complaints. The goal is to promote business growth by expanding the company’s clientele.


* Minimum Qualification : High School (S.S.C.E)
* Experience Level : Entry level
* Experience Length : 2 years
### **Job Description/Requirements**

**Responsibilities:**

* Cold call people using a given phone directory to sell products or solicit donations
* Answer incoming calls from prospective customers
* Use scripts to provide information about product’s features, prices etc., and present their benefits
* Ask pertinent questions to understand the customer’s requirements
* Persuade the customer to buy by demonstrating how merchandise or services meet their needs
* Record the customer’s personal information accurately in a computer system
* Deal with complaints or doubts to safeguard the company’s reputation
* Go the “extra mile” to meet sales quota and facilitate future sales
Keep records of calls and sales and record useful information  
* 

**Requirements:**

* Proven experience as a Telemarketer or similar sales/customer service role
* Proven track record of successfully meeting sales quotas preferably over the phone
* Working knowledge of relevant computer programs (e.g. CRM software) and telephone systems
* Excellent communication and presentation skills
* Proficient in English
* Skilled in negotiation and dealing with complaints
* Persistent and results\-oriented
* Patient and able to handle customer rejection
High school diploma; B.Sc/Ba is a plus  
* 

  

**Location:** Rukpokwu, Port Harcourt",,https://ng.indeed.com/cmp/Castel-Resources,,,,,,
in-faa6009e848e71ba,indeed,https://ng.indeed.com/viewjob?jk=faa6009e848e71ba,https://www.jobberman.com/listings/assistant-inventory-officer-evkd7x,Assistant Inventory Officer,,"Port Harcourt, RI, NG",2025-03-19,,,,,,,False,,,,,"Today
S
**Assistant Inventory Officer**
===============================

**Special Strides**
-------------------

Port Harcourt \& Rivers State
NGO, NPO \& Charity Confidential
* Minimum Qualification :
### **Job Description/Requirements**

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

Job Title: Assistant Inventory Officer


Location: Garrison, Port Harcourt


Job Type: Full\-time  



  

About Us:


Our IT company is seeking a highly organized and detail\-oriented Assistant Inventory Officer to join our team. As an Assistant Inventory Officer, you will be responsible for assisting in the management of our inventory, ensuring accurate tracking and reporting of stock levels, and providing support to the inventory management team.  



  

Responsibilities:


* Assist in receiving, inspecting, and storing inventory
* Maintain accurate records of inventory transactions, including receipts, shipments, and stock levels
* Conduct regular inventory audits to ensure accuracy and identify discrepancies
* Assist in investigating and resolving inventory discrepancies
* Provide support to the inventory management team in tracking and reporting inventory levels
* Ensure compliance with company inventory management policies and procedures

  

Requirements:


* School Certificate (SSCE) or equivalent
* Practical knowledge and experience in inventory management (at least 1 year)
* Strong organizational and time management skills
* Attention to detail and ability to maintain accurate records
* Ability to work in a fast\-paced environment and meet deadlines
* Basic computer skills, including Microsoft Office and inventory management software

  

What We Offer:


\- Salary Range (₦60,000 \- ₦70,000 per month)


* Opportunity to work with a dynamic and growing IT company
* Collaborative and supportive work environment

  

How to Apply:


If you are a motivated and detail\-oriented individual with a passion for inventory management, please submit your application, including your resume to WhatsApp Number 08098077775\.  



  

Equal Opportunity Employer: Our company is an equal opportunity employer and welcomes applications from diverse candidates.  



  

Application Deadline: 18th March, 2025\.  



  

N.B: Only shortlisted candidates will be contacted for an interview.  



  

  

  

  

  

  

  

  

  

  

  

\<",,,,,,,,
in-f6c86e72b18e8c26,indeed,https://ng.indeed.com/viewjob?jk=f6c86e72b18e8c26,https://www.jobberman.com/listings/contract-engineer-pm4ddv,Contract Engineer,FELTON ENERGY SERVICES LIMITED,"Port Harcourt, RI, NG",2025-03-19,,,,,,,False,,,,wendy@feltonenergy.net,"Today
F
**Contract Engineer**
=====================

**FELTON ENERGY SERVICES LIMITED**
----------------------------------

Port Harcourt \& Rivers State
Confidential
* Minimum Qualification :
### **Job Description/Requirements**

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

  

**SCOPE OF SERVICES**

**PROVISION OF CONTRACT ENGINEERING SERVICES**

  

**Services to be performed by the CONTRACTOR shall include the following, but without limitation:**

**SERVICES DESCRIPTION**

Services to be performed by the CONTRACTOR shall include the following, but without limitation:


* Verify that company's Contractual Policies and applicable laws and regulations are adhered to, especially related to ethics and transparency.
* Verify that Contracts comply with the standards of the company and the agreements with the partners.
* Ensure the application and respect of the procedures in the tender process.
* Work closely with the DUET counterpart to create the contracts dossier, develop a clear definition of contractual responsibilities and discuss the agenda including: Validation of contracts strategy, negotiation and analysis of commercial bids, participation in recommendations to award.
* Adapt standard contract templates to local conditions
* Provide professional advice and guidance to all contract owners/entities with respect to contractual matters
* Liaise with Methods and Performance and Domain Manager for timely reporting (not limited to validate and record savings in Agora) and statistics matters
* Keep informed of best practices in contracts procedures in other entities and affiliates for improvement of contracts practices in the COMPANY.
* Promote the use of frame agreements.
* Prepare and maintain an up\-to\-date list of qualified contractors/suppliers/potential tenders/contracts with updated information to perform market studies; analyze and assess all possible answers from the market
* Participate in the validation of the contracts strategy through: Arranging and attending Contracts Committee Meetings, common recommendation with duet, pre\-qualifying bidders, defining target prices, defining criteria for evaluation, establish CFT commercial documents, etc.
* Prepare and send out the dossiers of pre\-consultation for Standard or Complex invitations to bid.
* Verify the alignment with Ethics, Compliance, H3SEQ clauses, Company rules, Procedures, Instructions and applicable legislation when issuing all technical contracts and when drafting contractual and commercial terms and conditions
* Verify the Terms \& Conditions (standard, general and financial)
* Create contracts from standard templates (where they exist) or develop one (where template is not available) and create outline agreements in SAP.
* Conduct the Terms \& Conditions bid analysis and negotiation for the best interest of COMPANY.
* Conduct the commercial bid analysis and negotiation thereby creating a clear definition of responsibilities and documents together with the DUET
* Take the leading role in recommendations to award presentation to contracts Committee in collaboration with triplet.
* Participate in the signing of formal document after approval from authorities and partners and clarification of rights and obligations of both signing parties according to DOA
* Ensures that own contracts are created and managed in UNISUP and AGORA, ensure effective use of tools and systems (Ariba, NIPEX, REX\+, AGORA) for optimum productivity.
* Prepare files for the settlement of lawsuits in relation with the legal, insurance and financial department
* Monitor contractor's performance with Duet, promoting and attending service quality meetings, claims, amendments and contract renewal discussions with contractor and manage and maintain a network with Stakeholders such as NAPIMS, NCDMB, etc.
* Carries out any other duties that may be assigned to him/her from time to time

  

**HSE RESPONSIBILITIES**

* Be in constant alignment with H3SE Company rules, Procedures, Instructions and applicable legislation
* Take the necessary measures to avert immediate threat of danger. Exercising caution as necessary to avoid danger to persons and installations or avoid pollution
* Participate actively in H3SE meetings, training sessions and drills and co\-operate actively in the execution of H3SE plans
* Promote safety culture within Company by reporting of anomalies.

  

**SERVICES PERSONNEL PROFILE**

* **A degree in Engineering, Management or Social Sciences (preferably Supply Chain)**
* **3 to 5 years' experience in oil and gas operator companies of which 2 years should be as a contract Engineer**
* **Demonstrable general knowledge and understanding of commercial, legal and insurance issues affecting the company in general.**
* Membership of relevant professional bodies in the Supply Chain and in Operational functions will be an added advantage.
* Proficiency in MS Office Suites (Word, Excel, PowerPoint)
* Good command of English language and excellent communication skills.

  

**SERVICES SCHEME AND LOCATION:**

* COMPANY’S designated offices (Port Harcourt)
* Standard COMPANY office hours

  

Qualified Candidates should send CVs to wendy@feltonenergy.net  



  

  

  

  

  

  

  

  

  

  

  

\<",,https://ng.indeed.com/cmp/Felton-Energy-Services-Limited,,,,,,
